ENTITY,GROUPS,FAMILY,FAMILY_CS,CROSS_SECTION_MM,FIXATION,SPOOL_TYPE,RM,LME_PROJECTS,LME_SALES,BASIC_LME,UNIT_PRICE,MONTH,MONTH_NAME,QTY_KM,RC_KG,CC_KG,ES_MM,AV_INDEX,TOTAL_AMOUNT,ADDED_VALUE
COFICAB Kenitra,APTIV,A3 SBD    ,A3S1600,1600,M-1,PRODUCED,PVC,LME Cash M-1 + 332€ APTIV,10.41209,10.08009,1816.34469,1,Jan,2.4,319.1492213432256,338.4,38.4,835.7760000000001,4359.227256,1044.72
COFICAB Kenitra,APTIV,A3 SBD    ,A3SBD2500,2500,M-1,PRODUCED,PVC,LME Cash M-1 + 332€ APTIV,10.41209,10.08009,2722.6198,1,Jan,3.0999999999999996,647.8421880197398,682.0,77.5,1339.076,8440.12138,1295.8799999999999
COFICAB Kenitra,APTIV,A3 SCD    ,A3F3500,3500,M-1,PRODUCED,PVC,LME Cash M-1 + 332€ APTIV,10.41209,10.08009,3842.5683499999996,1,Jan,144.69,43492.50233919149,45577.35,5064.15,81425.74440000001,555981.2145615,104673.36
COFICAB Kenitra,APTIV,A3 TBD    ,A30075,75,M-1,PRODUCED,PVC,LME Cash M-1 + 332€ APTIV,10.41209,10.08009,84.351003,1,Jan,8.016,50.57083355679764,53.7072,6.0120000000000005,116.95344,676.1576400480001,14.59
COFICAB Kenitra,APTIV,A3 TBD    ,A31000,1000,M-1,PRODUCED,PVC,LME CASH M-1 + 315$ + 1% + 122€ APTIV,10.57458,10.08095,1086.2230399999999,1,Jan,20.908,1777.5452857770201,1839.904,209.08,3254.53928,22710.751320319996,1867.92
COFICAB Kenitra,APTIV,A3 TBD    ,A31600,1600,M-1,PRODUCED,PVC,LME CASH M-1 + 315$ + 1% + 122€ APTIV,10.57458,10.08095,1726.03578,1,Jan,32.268,4290.961280959667,4549.788,516.288,7583.62536,55695.722549039994,7755.660000000001
COFICAB Kenitra,APTIV,A3 TBD    ,A32500,2500,M-1,PRODUCED,PVC,LME Cash M-1 + 332€ APTIV,10.41209,10.08009,2704.0398,1,Jan,1.151,240.5375349712002,253.22,28.775,475.80038,3112.3498098,413.38
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0035,35,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,42.921963,1,Jan,42.031,121.04159471527834,130.29610000000002,14.71085,450.57232,1804.053026853,32.160000000000004
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0050,50,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,57.856012,1,Jan,6190.08,26171.736405828815,27236.352000000003,3095.04,75209.472,358133.34276096,7812.45
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0075,75,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,85.60656399999999,1,Jan,2079.399,13161.501076558974,14139.913199999999,1559.54925,31128.603030000002,178010.203575036,4011.96
